Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2020","10,583.81","10,614.09","10,527.98","10,565.49","17,094,010,304","195,537,099,461"
"Oct 02, 2020","10,624.39","10,662.81","10,440.31","10,585.16","23,127,839,259","195,891,161,608"
"Oct 01, 2020","10,785.01","10,915.84","10,493.55","10,623.33","27,178,227,816","196,588,367,760"
"Sep 30, 2020","10,845.41","10,856.53","10,689.67","10,787.62","20,759,622,010","199,620,143,649"
"Sep 29, 2020","10,712.46","10,858.94","10,665.34","10,848.83","20,459,870,042","200,742,343,863"
"Sep 28, 2020","10,771.64","10,949.12","10,716.68","10,721.33","22,720,365,389","198,373,626,496"
"Sep 27, 2020","10,752.94","10,804.73","10,643.46","10,774.43","18,016,880,214","199,347,495,686"
"Sep 26, 2020","10,702.24","10,778.50","10,682.08","10,754.44","18,105,012,128","198,967,310,682"
"Sep 25, 2020","10,747.47","10,757.55","10,594.05","10,702.29","21,232,549,821","197,992,438,297"
"Sep 24, 2020","10,227.48","10,765.79","10,215.21","10,745.55","23,017,536,742","198,781,560,095"
"Sep 23, 2020","10,539.46","10,637.85","10,185.77","10,225.86","22,986,733,997","189,159,114,865"
"Sep 22, 2020","10,459.62","10,568.08","10,382.73","10,538.46","23,621,787,804","194,932,197,947"
"Sep 21, 2020","10,934.93","10,988.30","10,380.26","10,462.26","28,884,999,244","193,514,327,128"
"Sep 20, 2020","11,095.87","11,095.87","10,814.48","10,938.27","24,699,523,788","202,308,927,892"
"Sep 19, 2020","10,933.75","11,134.09","10,909.62","11,094.35","22,764,204,008","205,185,696,336"
"Sep 18, 2020","10,951.82","11,034.91","10,829.66","10,944.59","26,341,903,912","202,405,809,881"
"Sep 17, 2020","10,973.25","11,037.42","10,774.63","10,948.99","38,151,810,523","202,475,761,712"
"Sep 16, 2020","10,797.76","11,100.12","10,704.88","10,974.90","30,769,986,455","202,942,925,722"
"Sep 15, 2020","10,677.75","10,938.63","10,656.46","10,796.95","32,509,451,925","199,641,896,762"
"Sep 14, 2020","10,328.73","10,800.01","10,266.01","10,680.84","35,453,581,940","197,484,272,947"
"Sep 13, 2020","10,452.40","10,577.22","10,224.33","10,323.76","36,506,852,789","190,870,759,062"
"Sep 12, 2020","10,409.86","10,578.84","10,292.39","10,442.17","36,750,077,324","193,049,493,277"
